date_time,outside_temp,temp_C
5-23-2015 15:31 EDT,79,26.11111111
5-23-2015 16:31 EDT,79,26.11111111
5-23-2015 17:31 EDT,78,25.55555556
5-23-2015 18:31 EDT,73,22.77777778
5-23-2015 19:31 EDT,68,20
5-23-2015 20:31 EDT,65,18.33333333
5-23-2015 21:31 EDT,64,17.77777778
5-23-2015 22:31 EDT,63,17.22222222
5-23-2015 23:31 EDT,63,17.22222222
5-24-2015 0:31 EDT,64,17.77777778
5-24-2015 1:31 EDT,63,17.22222222
5-24-2015 2:31 EDT,63,17.22222222
5-24-2015 3:31 EDT,63,17.22222222
5-24-2015 4:31 EDT,62,16.66666667
5-24-2015 5:31 EDT,62,16.66666667
5-24-2015 6:31 EDT,60,15.55555556
5-24-2015 7:31 EDT,60,15.55555556
5-24-2015 8:31 EDT,62,16.66666667
5-24-2015 9:31 EDT,67,19.44444444
5-24-2015 10:31 EDT,72,22.22222222
5-24-2015 11:31 EDT,77,25
5-24-2015 12:31 EDT,79,26.11111111
5-24-2015 13:31 EDT,80,26.66666667
5-24-2015 14:31 EDT,83,28.33333333
5-24-2015 15:31 EDT,84,28.88888889
5-24-2015 16:31 EDT,83,28.33333333
5-24-2015 17:31 EDT,82,27.77777778
5-24-2015 18:31 EDT,78,25.55555556
5-24-2015 19:31 EDT,72,22.22222222
5-24-2015 20:31 EDT,69,20.55555556
5-24-2015 21:31 EDT,67,19.44444444
5-24-2015 22:31 EDT,64,17.77777778
5-24-2015 23:31 EDT,65,18.33333333
5-25-2015 0:31 EDT,64,17.77777778
5-25-2015 1:31 EDT,65,18.33333333
5-25-2015 2:31 EDT,65,18.33333333
5-25-2015 3:31 EDT,64,17.77777778
5-25-2015 4:31 EDT,63,17.22222222
5-25-2015 5:31 EDT,63,17.22222222
5-25-2015 6:31 EDT,63,17.22222222
5-25-2015 7:31 EDT,62,16.66666667
5-25-2015 8:31 EDT,64,17.77777778
5-25-2015 9:31 EDT,71,21.66666667
5-25-2015 10:31 EDT,75,23.88888889
5-25-2015 11:31 EDT,74,23.33333333
5-25-2015 12:31 EDT,80,26.66666667
5-25-2015 13:31 EDT,82,27.77777778
5-25-2015 14:31 EDT,85,29.44444444
5-25-2015 15:31 EDT,78,25.55555556
5-25-2015 16:31 EDT,81,27.22222222
5-25-2015 17:31 EDT,79,26.11111111
5-25-2015 18:31 EDT,78,25.55555556
5-25-2015 19:31 EDT,72,22.22222222
5-25-2015 20:31 EDT,71,21.66666667
5-25-2015 21:31 EDT,68,20
5-25-2015 22:31 EDT,64,17.77777778
5-25-2015 23:31 EDT,64,17.77777778
5-26-2015 0:31 EDT,65,18.33333333
5-26-2015 1:31 EDT,66,18.88888889
5-26-2015 2:31 EDT,63,17.22222222
5-26-2015 3:31 EDT,63,17.22222222
5-26-2015 4:31 EDT,63,17.22222222
5-26-2015 5:31 EDT,63,17.22222222
5-26-2015 6:31 EDT,63,17.22222222
5-26-2015 7:31 EDT,65,18.33333333
5-26-2015 8:31 EDT,67,19.44444444
5-26-2015 9:31 EDT,69,20.55555556
5-26-2015 10:31 EDT,71,21.66666667
