Bat freq,Species,Datalogger,Download date,Recording date,Time,Channel,Day,Date_Time,BPM
150.073,MYSE,8443,2014/08/01,2014/07/30,06:48:22,1,Day,7/30/14 6:48,16.6
150.073,MYSE,8443,2014/08/01,2014/07/30,06:49:18,1,Day,7/30/14 6:49,18.1
150.073,MYSE,8443,2014/08/01,2014/07/30,06:49:21,1,Day,7/30/14 6:49,16.8
150.073,MYSE,8443,2014/08/01,2014/07/30,06:50:20,1,Day,7/30/14 6:50,15.4
150.073,MYSE,8443,2014/08/01,2014/07/30,06:50:23,1,Day,7/30/14 6:50,15.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:51:20,1,Day,7/30/14 6:51,15.2
150.073,MYSE,8443,2014/08/01,2014/07/30,06:52:20,1,Day,7/30/14 6:52,17.9
150.073,MYSE,8443,2014/08/01,2014/07/30,06:52:23,1,Day,7/30/14 6:52,17.8
150.073,MYSE,8443,2014/08/01,2014/07/30,06:53:19,1,Day,7/30/14 6:53,19.4
150.073,MYSE,8443,2014/08/01,2014/07/30,06:53:22,1,Day,7/30/14 6:53,19.3
150.073,MYSE,8443,2014/08/01,2014/07/30,06:54:20,1,Day,7/30/14 6:54,15.9
150.073,MYSE,8443,2014/08/01,2014/07/30,06:54:24,1,Day,7/30/14 6:54,15.9
150.073,MYSE,8443,2014/08/01,2014/07/30,06:55:20,1,Day,7/30/14 6:55,15.6
150.073,MYSE,8443,2014/08/01,2014/07/30,06:55:24,1,Day,7/30/14 6:55,15.9
150.073,MYSE,8443,2014/08/01,2014/07/30,06:56:20,1,Day,7/30/14 6:56,17.9
150.073,MYSE,8443,2014/08/01,2014/07/30,06:56:24,1,Day,7/30/14 6:56,17.7
150.073,MYSE,8443,2014/08/01,2014/07/30,06:57:20,1,Day,7/30/14 6:57,16.9
150.073,MYSE,8443,2014/08/01,2014/07/30,06:57:24,1,Day,7/30/14 6:57,18.1
150.073,MYSE,8443,2014/08/01,2014/07/30,06:58:18,1,Day,7/30/14 6:58,16.2
150.073,MYSE,8443,2014/08/01,2014/07/30,06:58:22,1,Day,7/30/14 6:58,16.4
150.073,MYSE,8443,2014/08/01,2014/07/30,06:59:20,1,Day,7/30/14 6:59,17.1
150.073,MYSE,8443,2014/08/01,2014/07/30,06:59:24,1,Day,7/30/14 6:59,16.9
150.073,MYSE,8443,2014/08/01,2014/07/30,07:00:19,1,Day,7/30/14 7:00,16.4
150.073,MYSE,8443,2014/08/01,2014/07/30,07:00:23,1,Day,7/30/14 7:00,16.4
150.073,MYSE,8443,2014/08/01,2014/07/30,07:01:19,1,Day,7/30/14 7:01,15.8
150.073,MYSE,8443,2014/08/01,2014/07/30,07:01:22,1,Day,7/30/14 7:01,16.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:02:19,1,Day,7/30/14 7:02,15.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:02:23,1,Day,7/30/14 7:02,15.3
150.073,MYSE,8443,2014/08/01,2014/07/30,07:03:20,1,Day,7/30/14 7:03,15.4
150.073,MYSE,8443,2014/08/01,2014/07/30,07:04:20,1,Day,7/30/14 7:04,15.4
150.073,MYSE,8443,2014/08/01,2014/07/30,07:05:17,1,Day,7/30/14 7:05,16
150.073,MYSE,8443,2014/08/01,2014/07/30,07:05:21,1,Day,7/30/14 7:05,15.9
150.073,MYSE,8443,2014/08/01,2014/07/30,07:06:19,1,Day,7/30/14 7:06,16.9
150.073,MYSE,8443,2014/08/01,2014/07/30,07:06:22,1,Day,7/30/14 7:06,16.3
150.073,MYSE,8443,2014/08/01,2014/07/30,07:07:20,1,Day,7/30/14 7:07,15.8
150.073,MYSE,8443,2014/08/01,2014/07/30,07:08:19,1,Day,7/30/14 7:08,16.7
150.073,MYSE,8443,2014/08/01,2014/07/30,07:08:23,1,Day,7/30/14 7:08,16.3
150.073,MYSE,8443,2014/08/01,2014/07/30,07:09:18,1,Day,7/30/14 7:09,15.9
150.073,MYSE,8443,2014/08/01,2014/07/30,07:09:22,1,Day,7/30/14 7:09,16.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:10:19,1,Day,7/30/14 7:10,15.9
150.073,MYSE,8443,2014/08/01,2014/07/30,07:10:22,1,Day,7/30/14 7:10,16.2
150.073,MYSE,8443,2014/08/01,2014/07/30,07:11:19,1,Day,7/30/14 7:11,15.5
150.073,MYSE,8443,2014/08/01,2014/07/30,07:11:23,1,Day,7/30/14 7:11,15.5
150.073,MYSE,8443,2014/08/01,2014/07/30,07:12:20,1,Day,7/30/14 7:12,15.8
150.073,MYSE,8443,2014/08/01,2014/07/30,07:13:19,1,Day,7/30/14 7:13,16.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:13:22,1,Day,7/30/14 7:13,16.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:14:20,1,Day,7/30/14 7:14,15.3
150.073,MYSE,8443,2014/08/01,2014/07/30,07:15:18,1,Day,7/30/14 7:15,15.5
150.073,MYSE,8443,2014/08/01,2014/07/30,07:15:22,1,Day,7/30/14 7:15,15.4
150.073,MYSE,8443,2014/08/01,2014/07/30,07:16:19,1,Day,7/30/14 7:16,16.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:16:23,1,Day,7/30/14 7:16,16.2
150.073,MYSE,8443,2014/08/01,2014/07/30,07:17:17,1,Day,7/30/14 7:17,15.9
150.073,MYSE,8443,2014/08/01,2014/07/30,07:17:21,1,Day,7/30/14 7:17,15.7
150.073,MYSE,8443,2014/08/01,2014/07/30,07:18:19,1,Day,7/30/14 7:18,15.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:18:23,1,Day,7/30/14 7:18,15
150.073,MYSE,8443,2014/08/01,2014/07/30,07:19:18,1,Day,7/30/14 7:19,15.2
150.073,MYSE,8443,2014/08/01,2014/07/30,07:19:22,1,Day,7/30/14 7:19,15
150.073,MYSE,8443,2014/08/01,2014/07/30,07:20:19,1,Day,7/30/14 7:20,14.5
150.073,MYSE,8443,2014/08/01,2014/07/30,07:21:17,1,Day,7/30/14 7:21,14.6
150.073,MYSE,8443,2014/08/01,2014/07/30,07:21:21,1,Day,7/30/14 7:21,14.6
150.073,MYSE,8443,2014/08/01,2014/07/30,07:22:18,1,Day,7/30/14 7:22,14.9
150.073,MYSE,8443,2014/08/01,2014/07/30,07:22:22,1,Day,7/30/14 7:22,14.8
150.073,MYSE,8443,2014/08/01,2014/07/30,07:23:19,1,Day,7/30/14 7:23,14.9
150.073,MYSE,8443,2014/08/01,2014/07/30,07:24:20,1,Day,7/30/14 7:24,14.7
150.073,MYSE,8443,2014/08/01,2014/07/30,07:25:17,1,Day,7/30/14 7:25,14.6
150.073,MYSE,8443,2014/08/01,2014/07/30,07:25:22,1,Day,7/30/14 7:25,14.7
150.073,MYSE,8443,2014/08/01,2014/07/30,07:26:19,1,Day,7/30/14 7:26,14.7
150.073,MYSE,8443,2014/08/01,2014/07/30,07:26:23,1,Day,7/30/14 7:26,14.7
150.073,MYSE,8443,2014/08/01,2014/07/30,07:27:20,1,Day,7/30/14 7:27,14.5
150.073,MYSE,8443,2014/08/01,2014/07/30,07:28:18,1,Day,7/30/14 7:28,14.5
150.073,MYSE,8443,2014/08/01,2014/07/30,07:28:22,1,Day,7/30/14 7:28,14.4
150.073,MYSE,8443,2014/08/01,2014/07/30,07:29:20,1,Day,7/30/14 7:29,14.4
150.073,MYSE,8443,2014/08/01,2014/07/30,07:30:18,1,Day,7/30/14 7:30,14.4
150.073,MYSE,8443,2014/08/01,2014/07/30,07:30:22,1,Day,7/30/14 7:30,14.3
150.073,MYSE,8443,2014/08/01,2014/07/30,07:31:21,1,Day,7/30/14 7:31,14.3
150.073,MYSE,8443,2014/08/01,2014/07/30,07:32:20,1,Day,7/30/14 7:32,14.3
150.073,MYSE,8443,2014/08/01,2014/07/30,07:33:19,1,Day,7/30/14 7:33,14.2
150.073,MYSE,8443,2014/08/01,2014/07/30,07:34:18,1,Day,7/30/14 7:34,14.3
150.073,MYSE,8443,2014/08/01,2014/07/30,07:34:22,1,Day,7/30/14 7:34,14.3
150.073,MYSE,8443,2014/08/01,2014/07/30,07:35:21,1,Day,7/30/14 7:35,14.2
150.073,MYSE,8443,2014/08/01,2014/07/30,07:36:20,1,Day,7/30/14 7:36,14.2
150.073,MYSE,8443,2014/08/01,2014/07/30,07:37:19,1,Day,7/30/14 7:37,14.2
150.073,MYSE,8443,2014/08/01,2014/07/30,07:38:19,1,Day,7/30/14 7:38,14.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:39:18,1,Day,7/30/14 7:39,14.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:39:22,1,Day,7/30/14 7:39,14.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:40:18,1,Day,7/30/14 7:40,14.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:40:22,1,Day,7/30/14 7:40,14.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:41:17,1,Day,7/30/14 7:41,14.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:41:21,1,Day,7/30/14 7:41,14.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:42:21,1,Day,7/30/14 7:42,14.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:43:21,1,Day,7/30/14 7:43,14
150.073,MYSE,8443,2014/08/01,2014/07/30,07:44:21,1,Day,7/30/14 7:44,14
150.073,MYSE,8443,2014/08/01,2014/07/30,07:45:21,1,Day,7/30/14 7:45,14
150.073,MYSE,8443,2014/08/01,2014/07/30,07:46:21,1,Day,7/30/14 7:46,14
150.073,MYSE,8443,2014/08/01,2014/07/30,07:47:20,1,Day,7/30/14 7:47,14.1
150.073,MYSE,8443,2014/08/01,2014/07/30,07:48:20,1,Day,7/30/14 7:48,14.2
150.073,MYSE,8443,2014/08/01,2014/07/30,07:49:19,1,Day,7/30/14 7:49,14.3
150.073,MYSE,8443,2014/08/01,2014/07/30,07:50:17,1,Day,7/30/14 7:50,14.5
150.073,MYSE,8443,2014/08/01,2014/07/30,07:50:22,1,Day,7/30/14 7:50,14.5
150.073,MYSE,8443,2014/08/01,2014/07/30,07:51:20,1,Day,7/30/14 7:51,14.5
150.073,MYSE,8443,2014/08/01,2014/07/30,07:52:17,1,Day,7/30/14 7:52,14.7
150.073,MYSE,8443,2014/08/01,2014/07/30,07:52:21,1,Day,7/30/14 7:52,14.7
150.073,MYSE,8443,2014/08/01,2014/07/30,07:53:18,1,Day,7/30/14 7:53,14.6
150.073,MYSE,8443,2014/08/01,2014/07/30,07:53:22,1,Day,7/30/14 7:53,14.7
150.073,MYSE,8443,2014/08/01,2014/07/30,07:54:19,1,Day,7/30/14 7:54,14.8
150.073,MYSE,8443,2014/08/01,2014/07/30,07:55:20,1,Day,7/30/14 7:55,15
150.073,MYSE,8443,2014/08/01,2014/07/30,07:56:20,1,Day,7/30/14 7:56,15.2
150.073,MYSE,8443,2014/08/01,2014/07/30,07:57:19,1,Day,7/30/14 7:57,15.4
150.073,MYSE,8443,2014/08/01,2014/07/30,07:57:23,1,Day,7/30/14 7:57,15.4
150.073,MYSE,8443,2014/08/01,2014/07/30,07:58:18,1,Day,7/30/14 7:58,15
150.073,MYSE,8443,2014/08/01,2014/07/30,07:58:22,1,Day,7/30/14 7:58,15
150.073,MYSE,8443,2014/08/01,2014/07/30,07:59:19,1,Day,7/30/14 7:59,14.9
150.073,MYSE,8443,2014/08/01,2014/07/30,07:59:23,1,Day,7/30/14 7:59,14.9
150.073,MYSE,8443,2014/08/01,2014/07/30,08:00:19,1,Day,7/30/14 8:00,15
150.073,MYSE,8443,2014/08/01,2014/07/30,08:00:23,1,Day,7/30/14 8:00,15
150.073,MYSE,8443,2014/08/01,2014/07/30,08:01:19,1,Day,7/30/14 8:01,15.1
150.073,MYSE,8443,2014/08/01,2014/07/30,08:01:22,1,Day,7/30/14 8:01,15.1
150.073,MYSE,8443,2014/08/01,2014/07/30,08:02:18,1,Day,7/30/14 8:02,15.2
150.073,MYSE,8443,2014/08/01,2014/07/30,08:02:22,1,Day,7/30/14 8:02,15.2
150.073,MYSE,8443,2014/08/01,2014/07/30,08:03:17,1,Day,7/30/14 8:03,15.4
150.073,MYSE,8443,2014/08/01,2014/07/30,08:03:21,1,Day,7/30/14 8:03,15.3
150.073,MYSE,8443,2014/08/01,2014/07/30,08:04:19,1,Day,7/30/14 8:04,15.6
150.073,MYSE,8443,2014/08/01,2014/07/30,08:04:23,1,Day,7/30/14 8:04,15.6
150.073,MYSE,8443,2014/08/01,2014/07/30,08:05:17,1,Day,7/30/14 8:05,15.6
150.073,MYSE,8443,2014/08/01,2014/07/30,08:05:21,1,Day,7/30/14 8:05,15.6
150.073,MYSE,8443,2014/08/01,2014/07/30,08:06:19,1,Day,7/30/14 8:06,15.5
150.073,MYSE,8443,2014/08/01,2014/07/30,08:06:23,1,Day,7/30/14 8:06,15.5
150.073,MYSE,8443,2014/08/01,2014/07/30,08:07:20,1,Day,7/30/14 8:07,15.9
150.073,MYSE,8443,2014/08/01,2014/07/30,08:08:17,1,Day,7/30/14 8:08,15.5
